transaction_amount,buyer_account_age_days,seller_trust_score,num_previous_disputes,velocity_1h,seller_rating,is_new_seller,payment_method,category,is_fraud
469.64,34.0,65.39,0.0,2.0,3.4,0.0,upi,Beauty,0
1941.07,64.0,75.05,0.0,2.0,3.87,0.0,card,Books,0
1009.58,65.0,52.29,0.0,0.0,2.36,1.0,card,Grocery,0
1885.42,106.0,72.43,0.0,1.0,3.82,0.0,upi,Fashion,0
2441.26,396.0,82.6,0.0,1.0,4.05,0.0,cod,Home & Kitchen,0
961.82,13.0,86.99,0.0,1.0,4.91,0.0,cod,Fashion,0
308.93,26.0,72.37,0.0,1.0,3.62,0.0,upi,Home & Kitchen,0
945.98,237.0,58.41,0.0,2.0,2.87,0.0,cod,Electronics,0
714.76,63.0,84.48,0.0,1.0,4.61,0.0,card,Home & Kitchen,0
2931.28,148.0,91.95,0.0,2.0,4.62,0.0,upi,Grocery,0
972.98,32.0,52.15,0.0,0.0,2.35,1.0,cod,Electronics,0
1226.53,215.0,71.58,0.0,3.0,3.12,0.0,card,Grocery,0
1343.27,694.0,92.93,0.0,0.0,4.38,0.0,upi,Beauty,0
1410.16,46.0,73.59,1.0,0.0,3.13,0.0,upi,Electronics,0
361.73,264.0,90.97,0.0,1.0,4.52,0.0,cod,Food & Beverage,0
420.34,112.0,64.53,0.0,0.0,3.48,0.0,upi,Home & Kitchen,0
372.84,438.0,56.55,0.0,0.0,2.66,0.0,upi,Fashion,0
617.88,176.0,76.59,0.0,1.0,4.59,0.0,cod,Beauty,0
1445.27,105.0,80.93,1.0,0.0,3.62,0.0,upi,Grocery,0
481.42,85.0,72.54,0.0,1.0,3.79,0.0,wallet,Beauty,0
325.82,438.0,87.7,1.0,2.0,4.52,0.0,upi,Beauty,0
825.11,87.0,61.14,0.0,2.0,2.93,0.0,upi,Home & Kitchen,0
1173.96,19.0,51.77,0.0,2.0,2.54,1.0,card,Pharmacy,0
893.3,11.0,39.08,1.0,1.0,2.45,1.0,upi,Food & Beverage,1
577.97,184.0,82.02,1.0,0.0,4.42,0.0,upi,Pharmacy,0
1989.3,47.0,84.39,1.0,2.0,4.5,0.0,upi,Food & Beverage,0
695.93,57.0,49.12,0.0,0.0,2.18,0.0,upi,Home & Kitchen,0
458.55,172.0,43.76,0.0,1.0,2.34,1.0,wallet,Home & Kitchen,0
1273.3,919.0,70.84,0.0,1.0,3.79,0.0,upi,Grocery,0
870.29,415.0,93.17,0.0,1.0,4.92,0.0,wallet,Beauty,0
607.17,344.0,63.27,0.0,0.0,2.74,0.0,card,Books,0
1212.86,82.0,89.86,0.0,2.0,4.6,0.0,card,Books,0
4830.65,632.0,59.58,0.0,1.0,3.08,0.0,cod,Grocery,0
115.04,38.0,34.09,0.0,2.0,2.04,1.0,upi,Electronics,0
991.88,106.0,82.21,1.0,1.0,4.03,0.0,wallet,Books,0
704.46,2.0,63.17,0.0,0.0,2.81,0.0,cod,Fashion,0
430.35,107.0,50.06,0.0,0.0,2.22,0.0,cod,Beauty,0
1936.69,15.0,93.43,0.0,1.0,4.78,0.0,upi,Beauty,0
2289.33,946.0,71.21,0.0,0.0,3.91,0.0,card,Home & Kitchen,0
788.34,135.0,83.87,0.0,0.0,4.08,0.0,card,Home & Kitchen,0
1199.15,346.0,78.48,0.0,1.0,4.01,0.0,upi,Food & Beverage,0
676.41,54.0,82.58,0.0,3.0,3.51,0.0,upi,Beauty,0
858.62,4.0,74.74,0.0,1.0,3.1,0.0,cod,Books,0
1066.6,52.0,34.18,1.0,2.0,1.85,0.0,card,Grocery,0
1270.03,3.0,52.56,1.0,2.0,2.77,0.0,upi,Grocery,0
273.61,2.0,62.67,0.0,3.0,3.35,0.0,cod,Home & Kitchen,0
742.08,78.0,91.84,0.0,1.0,3.96,0.0,upi,Pharmacy,0
1331.98,166.0,88.59,0.0,2.0,4.87,0.0,wallet,Books,0
506.07,199.0,50.17,0.0,2.0,2.34,0.0,cod,Books,0
237.85,215.0,68.49,0.0,0.0,3.24,0.0,cod,Books,0
392.43,69.0,39.64,0.0,2.0,2.18,1.0,card,Home & Kitchen,1
835.45,329.0,79.94,0.0,0.0,4.02,0.0,card,Pharmacy,0
1350.32,194.0,80.26,0.0,1.0,4.52,0.0,upi,Fashion,0
669.22,41.0,81.95,0.0,0.0,4.31,0.0,wallet,Books,0
180.38,6.0,80.08,0.0,4.0,4.47,0.0,upi,Food & Beverage,0
1370.44,29.0,68.79,0.0,1.0,3.31,0.0,card,Food & Beverage,0
1202.9,75.0,39.39,0.0,3.0,2.34,0.0,upi,Pharmacy,0
1352.81,381.0,88.39,1.0,2.0,3.75,0.0,upi,Electronics,0
430.09,35.0,85.79,0.0,1.0,4.26,0.0,cod,Pharmacy,0
640.81,308.0,68.66,0.0,2.0,3.03,0.0,upi,Pharmacy,0
1676.55,61.0,93.59,0.0,0.0,4.72,0.0,upi,Fashion,0
95.93,289.0,41.64,0.0,2.0,2.14,1.0,upi,Books,0
635.2,523.0,23.05,0.0,0.0,1.44,0.0,wallet,Fashion,0
233.56,155.0,45.6,0.0,0.0,2.36,1.0,card,Pharmacy,0
388.74,207.0,64.44,0.0,1.0,3.0,0.0,card,Books,0
1510.03,271.0,76.09,0.0,0.0,3.67,0.0,wallet,Food & Beverage,0
730.03,70.0,68.79,1.0,1.0,3.5,0.0,card,Food & Beverage,0
